,FORMULATING_UNIT,INVESTMENT_EXECUTING_UNIT,UBIGEO,PROVINCE,FUNCTION,TYPE_OF_INVESTMENT,INVESTMENT_NAME,UPDATED_COST,ACCUMULATED_EARNINGS_AS_OF_2021,PIM_2022,AMOUNT_YEAR_2022,AMOUNT_YEAR_2023,AMOUNT_YEAR_2024,AMOUNT_YEAR_2025
0,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150400,CANTA,SALUD,PROYECTO DE INVERSION,MEJORAMIENTO DE LA COBERTURA DE ATENCION INTEGRAL DE SALUD,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
1,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,SALUD,PROYECTO DE INVERSION,FORTALECIMIENTO INTEGRAL DE LA CAPACIDAD RESOLUTIVA DE LOS SERVICIOS DE ATENCION DEL HOSPITAL DE SUPE,39956104.0,35375268.0,5552574.0,6139336.0,0.0,0.0,0.0
2,GOBIERNO REGIONAL LIMA,GERENCIA SUB REGIONAL LIMA SUR,151000,YAUYOS,SALUD,PROYECTO DE INVERSION,MEJORAMIENTO  DE LA CAPACIDAD RESOLUTIVA  Y DE LA ATENCION  EN EL PUESTO DE SALUD I-1 C.P.  DE HUANCACHI -TOMAS-YAUYOS,646663.0,646642.0,0.0,0.0,0.0,22.0,0.0
3,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150800,HUAURA,SALUD,PROYECTO DE INVERSION,MEJORAMIENTO DE LA CAPACIDAD RESOLUTIVA DEL CENTRO DE SALUD MANZANARES NIVEL I-4 MICRORED HUALMAY,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
4,MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI,GERENCIA REGIONAL DE INFRAESTRUCTURA,150700,HUAROCHIRI,SALUD,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE SALUD DEL PUESTO DE SALUD  EL VALLE  EN EL ASENTAMIENTO HUMANO VALLE  SAGRADO ANEXO 22  JICAMARCA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
5,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE EDUCACION DEL NIVEL INICIAL EN LA I.E.I. N 20832 DEL CENTRO POBLADO EL PORVENIR,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
6,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,SALUD,PROYECTO DE INVERSION,ADQUISICION DE MONITOR DE FUNCIONES VITALES,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
7,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,SALUD,PROYECTO DE INVERSION,ADQUISICION DE VENTILADOR MECANICO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
8,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150500,CAÑETE,SALUD,PROYECTO DE INVERSION,CONSTRUCCIÓN Y EQUIPAMIENTO DEL HOSPITAL REGIONAL EN LA PROVINCIA DE CAÑETE,219185051.0,213524900.0,5660151.0,2592812.0,3041637.0,0.0,0.0
9,MUNICIPALIDAD DISTRITAL DE ANTIOQUIA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150700,HUAROCHIRI,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DE LA INFRAESTRUCTURA Y EQUIPAMIENTO DE LA IE 20537 ANDRES A. CACERES ESPIRITU SANTO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
10,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS EDUCATIVOS EN NIÑOS DE 03 A 05 AÑOS EN LA I.E.I. ESCOLARIZADA N  21571 SAN JUAN DE DIOS - DISTRITO AUCALLAMA - PROVINCIA HUARAL - REGIÓN LIMA,2810701.0,2588802.0,203686.0,17980.0,203919.0,0.0,0.0
11,MUNICIPALIDAD PROVINCIAL DE HUAROCHIRI,GERENCIA REGIONAL DE INFRAESTRUCTURA,150700,HUAROCHIRI,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DE LA PRESTACION DE LOS SERVICIOS EDUCATIVOS DE LA I.E. 20955-28 FRANCISCO BOLOGNESI CERVANTES ANEXO 22 DEL CENTRO POBLADO VALLE HERMOSO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
12,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150500,CAÑETE,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE EDUCACION DEL NIVEL INICIAL EN LA I.E.I N  021 CENTRO POBLADO  DE HERBAY ALTO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
13,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO  EDUCATIVO EN LA I.E. N 20979  LUIS ALBERTO SANCHEZ DEL AA.HH BUENA VISTA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
14,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150800,HUAURA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E. N 20332 REINO DE SUECIA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
15,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150800,HUAURA,EDUCACION,INVERSIONES IOARR,CONSTRUCCION DE AMBIENTE PARA COMEDOR,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
16,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE EDUCACION DEL NIVEL INICIAL EN LA I.E.I. N661 DEL CENTRO POBLADO MANUEL SEOANE CORRALES,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
17,MUNICIPALIDAD PROVINCIAL DE HUAURA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150800,HUAURA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO INTEGRAL DE LOS SERVICIOS EDUCATIVOS DEL NIVEL SECUNDARIO EN LA I.E. N 20871 DEL CENTRO POBLADO PARAISO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
18,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E.S.  MIGUEL GRAU DE LA CIUDAD DE PARAMONGA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
19,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,EDUCACION,PROYECTO DE INVERSION,CONSTRUCCION Y EQUIPAMIENTO DEL CETPRO BARRANCA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
20,MUNICIPALIDAD PROVINCIAL DE HUAURA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150800,HUAURA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E. 20372- PICHUPAMPA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
21,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE TRANSPORTE Y COMUNICACIONES,150600,HUARAL,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD A TRAVES DE LA CARRETERA VECINAL 519 ,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
22,MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE,DIRECCION REGIONAL DE TRANSPORTE Y COMUNICACIONES,150500,CAÑETE,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DE LAS VIAS DE ACCESO DE LOS CENTROS POBLADOS DE HUALCARA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
23,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DEL NIVEL INICIAL Y PRIMARIA DE LA I.E. N 20390 HORTENCIA DULANTO DE LAS CASAS DEL DISTRITO DE CHANCAY,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
24,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE AGRICULTURA,150600,HUARAL,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DE LA INFRAESTRUCTURA DE RIEGO CANAL PALPA BAJO,2957331.0,2876571.0,15000.0,15000.0,39173.0,26587.0,0.0
25,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150800,HUAURA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E. N 20331 - 656 PASITOS DE JESUS DEL BARRIO LA ESPERANZA DISTRITO DE HUALMAY- PROVINCIA DE HUAURA - REGION LIMA.,5868466.0,5868467.0,0.0,45644.0,0.0,0.0,0.0
26,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150300,CAJATAMBO,AGROPECUARIA,PROYECTO DE INVERSION,CONSTRUCCION DEL CANAL DE IRRIGACION COCHAS - PACA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
27,MUNICIPALIDAD DISTRITAL DE SAN ANDRES DE TUPICOCHA,DIRECCION REGIONAL DE AGRICULTURA,150700,HUAROCHIRI,AGROPECUARIA,PROYECTO DE INVERSION,INSTALACION DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO MOTOPLICHE  II,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
28,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE AGRICULTURA,150900,OYON,AGROPECUARIA,PROYECTO DE INVERSION,CONSTRUCCION DE RESERVORIO Y CANAL PUMPUL-PAGTAURA-ULLUSH-YANATAMA Y LIRIOTUNA DEL CENTRO POBLADO SAN CRISTOBAL DE RAPAZ,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
29,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE AGRICULTURA,150400,CANTA,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DE SERVICIO DE AGUA DEL SISTEMA DE RIEGO DE LA COMISION DE REGANTES YANGAS,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
30,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE AGRICULTURA,150600,HUARAL,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE ALMACENAMIENTO DE AGUA PARA USO AGRÍCOLA-PRESA CACCRAY-SANTA CRUZ DE ANDAMARCA-HUARAL-LIMA,7958432.0,7579299.0,378654.0,508472.0,0.0,110.0,0.0
31,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150700,HUAROCHIRI,SANEAMIENTO,PROYECTO DE INVERSION,REHABILITACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE HUAROCHIRI,7147696.0,6399273.0,197871.0,185533.0,0.0,0.0,0.0
34,GOBIERNO REGIONAL LIMA,GERENCIA SUB REGIONAL LIMA SUR,150500,CAÑETE,SALUD,PROYECTO DE INVERSION,CREACION DE LOS SERVICIOS DE ATENCIÓN BÁSICA DE SALUD NIVEL I-2,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
