,RUC,Company_Name,DESCRIPTION_CIIU,CIIU,District,UBIGEO,Sector,PERIOD,PUBLICATION_DATE
0,20516271052,EXPORTACIONES E INVERSIONES DEL PACIFICO S.A.C.,ELAB. Y CONS DE PESCADO.,1512,CHORRILLOS,150108,MANUFACTURA,2021,2023-06-26
2,20330862450,COMPANIA PESQUERA DEL PACIFICO CENTRO SA,ELAB. Y CONS DE PESCADO.,1512,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
5,20544125681,ANDECORP S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SANTA ANITA,150137,MANUFACTURA,2021,2023-06-26
7,20565525531,PESCADOS Y CEFALOPODOS DEL PERU SOCIEDAD ANONIMA CERRADA- PECEPE S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SAN JUAN DE MIRAFLORES,150133,MANUFACTURA,2021,2023-06-26
8,20159473148,PESQUERA DIAMANTE S.A.,ELAB. Y CONS DE PESCADO.,1512,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
9,20338054115,AUSTRAL GROUP S.A.A,ELAB. Y CONS DE PESCADO.,1512,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
11,20600693604,NEGOCIOS GENERALES MERG E.I.R.L.,ELAB. Y CONS DE PESCADO.,1512,LA MOLINA,150114,MANUFACTURA,2021,2023-06-26
12,20517355951,MEGA PESCA S.A.,ELAB. Y CONS DE PESCADO.,1512,MAGDALENA DEL MAR,150120,MANUFACTURA,2021,2023-06-26
15,20298256968,PACIFIC DEEP FROZEN S.A.,ELAB. Y CONS DE PESCADO.,1512,SANTA ANITA,150137,MANUFACTURA,2021,2023-06-26
17,20261671914,NOVAPERU S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SAN JUAN DE MIRAFLORES,150133,MANUFACTURA,2021,2023-06-26
20,20493104633,PACIFICO INTERNATIONAL TRADING COMPANY  SOCIEDAD ANONIMA CERRADA,ELAB. Y CONS DE PESCADO.,1512,SANTA ANITA,150137,MANUFACTURA,2021,2023-06-26
21,20602065856,AQUAFROST PER S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
22,20566497787,REFRIGERADOS NORFRIO S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
23,20517272583,PESQUERA CARAL S.A.,ELAB. Y CONS DE PESCADO.,1512,MAGDALENA DEL MAR,150120,MANUFACTURA,2021,2023-06-26
25,20600876491,WESTFALIA FRUIT PER S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,MIRAFLORES,150122,MANUFACTURA,2021,2023-06-26
26,20186370571,IMPORTADORA Y EXPORTADORA DOA ISABEL E. I.R.L,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,PUENTE PIEDRA,150125,MANUFACTURA,2021,2023-06-26
29,20536911708,VISONS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
30,20605530215,AGROCROP SANTA PERU S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,COMAS,150110,MANUFACTURA,2021,2023-06-26
33,20518663713,AGROWORLD S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,MAGDALENA DEL MAR,150120,MANUFACTURA,2021,2023-06-26
34,20561168939,CONSORCIO DE FRUTAS LAMBAYEQUE S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
35,20100032709,I Q F DEL PERU SA,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
37,20375020905,INVERSIONES LIBER S.A.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN LUIS,150134,MANUFACTURA,2021,2023-06-26
38,20601017238,AGROINDUSTRIAL E&C S.A.C,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN MARTIN DE PORRES,150135,MANUFACTURA,2021,2023-06-26
40,20510865627,SANTA SOFIA DEL SUR S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,MAGDALENA DEL MAR,150120,MANUFACTURA,2021,2023-06-26
41,20452791031,POMICA PERU SOCIEDAD ANONIMA CERRADA,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
43,20603887043,AGROINDUSTRIAS KON SOL SOCIEDAD  ANONIMA CERRADA - AGROINDUSTRIAS KON SOL S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN MARTIN DE PORRES,150135,MANUFACTURA,2021,2023-06-26
44,20542089106,S & M FOODS SOCIEDAD ANONIMA CERRADA - S & M FOODS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,MIRAFLORES,150122,MANUFACTURA,2021,2023-06-26
45,20555757469,AVOCADO PACKING COMPANY S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
50,20601143411,PERUVIAN CAPSICUM EXPORTERS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,JESUS MARIA,150113,MANUFACTURA,2021,2023-06-26
51,20504107494,DEL ANDE ALIMENTOS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN MIGUEL,150136,MANUFACTURA,2021,2023-06-26
52,20254664465,PRO VALLE ALIMENTOS SOCIEDAD ANONIMA CERRADA,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN LUIS,150134,MANUFACTURA,2021,2023-06-26
55,20602016812,ASESORIAS E INVERSIONES MUVA S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
58,20601225566,NATIVA ORGANICS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,BREÑA,150105,MANUFACTURA,2021,2023-06-26
